Name,Olympian Years,Sport,Education,Hometown,Age,Gold,Silver,Bronze
Simone Biles,"Olympian 2016, 2020, 2024",Gymnastics,"Homeschooled (Spring, Texas) ‘15","Spring, TX",29,7,2,2
Jordan Chiles,"Olympian 2020, 2024",Gymnastics,"University of California, Los Angeles","Vancouver, WA",25,1,1,0
Stephen Curry,Olympian 2024,Basketball,"Davidson College (Davidson, N.C.)","Akron, OH",38,1,0,0
Katie Ledecky,"Olympian 2012, 2016, 2020, 2024",Swimming,Stanford University,"Bethesda, MD",29,9,4,0
